Review,bac_si,nhan_vien,csvc_va_phuong_tien_pv
Thái độ của nhân viên quầy lấy số đống phí khám quá kém,0,0,0.0
Bệnh viện tương đối sạch sẽ. Tuy nhiên khu vực khoa ung bướu hơi đông và chật chội. Mọi người khi đi nộp viện phí cần chú ý đến các đinh nở sắt dưới nền tránh vấp ngã giật mình.,0,0,3.0
"Vừa rồi mổ ruột thừa ở viện C, Bác sĩ giỏi, y tá tận tình. Tiếng Anh hơi khó hiểu.",5,0,0.0
"Bệnh viện đẹp nhân viên nhiệt tình, nhưng vẫn chưa đáp ứng được nhu cầu khám chữa bệnh. Do bệnh nhân khá đông",0,4,3.0
"Bệnh viện hỗ trợ được rất nhiều người có hoàn cảnh khó khăn, là địa chỉ tin cậy trao niềm tin của mọi gia đình.",0,0,4.0
Giá ở đây khá cao. Nếu tiết kiệm hơn có thể qua bv răng hàm mặt trung ương,0,0,2.0
cho hỏi chi phí mổ mắt lác ở bệnh viện là bao nhiêu 1 mắt vậy ạk,0,0,0.0
Ý thức của nhân viên y tá  quá kém . Quát luôn cả bệnh nhân người già,1,0,0.0
"Bệnh viện YHCT-TƯ cơ sở vật chất hiện đại , xây mới . Đội ngũ y bác sỹ trẻ . Phương pháp điều trị chủ yếu là YHCT . Nhưng bó hẹp trong phạm vi chi phí bảo hiểm . Chủ yếu người già về hưu điều trị . Thuốc men hạn chế . Thuốc ngoài danh mục bảo hiểm ở viện không có , cho nên gây khó khăn cho việc điều trị hiệu quả cho bệnh nhân . Cung cách làm việc của nhân viên y tế theo kiểu làm ăn bao cấp . Không có phong cách mới như các viện lớn khác . Là viện TƯ lớn mà vắng bệnh nhân . Không thu hút được người bệnh đến điều trị .",3,2,3.0
"Không có chỗ đậu xe, chậm.",0,0,3.0
"Phải chữa răng trong khi cả tp đang thắt chặt việc đeo khẩu trang phòng covid 19, nên đã chọn bv trung ương  cho yên tâm về chuyên môn và vệ sinh. Cổng đón tiếp có khai báo y tế, sát khuẩn, đo thân nhiệt thì đỡ lo. Tuy nhiên, vào bên trong, còn bệnh nhân không đeo khẩu trang hoăc đeo không đúng cách mà không được nhắc nhở..Ở các điểm đón tiếp, thu tiền... vẫn còn tình trạng nhân viên nói chuyện riêng nhiều và ăn nói chưa đúng mực với bệnh nhân..Tại Khoa điều trị theo yêu cầu: Không có bảng xếp hàng điện tử, nên khó kiểm soát việc người quen chen ngang. Vì vậy bệnh nhân được hẹn giờ hay đến sớm vẫn phải chờ rất lâu, nhiều buổi hẹn 10.30 đến 13.30,  hẹn 15.00 phải 17.30 mới đến lượt..Những tình trạng này thiết nghĩ cần được cải thiện để mang lại hình ảnh đẹp cho một bệnh viện lớn cấp trung ương..Giá dịch vụ cao hơn một số bệnh viện khác cả nhà nước và tư nhân ở Hà Nội.",0,0,0.0
Bênh viện Phổi Trung Ương,0,0,0.0
"Sạch,bác sĩ và cbvc ân cần,dễ mến",4,4,4.0
Việt Đức thay đổi khá là nhiều!.Dịch vụ tốt.Quy trình khám thông minh.Giá thành phù hợp,3,3,3.0
"benh vien chuyen khoa dau nganh ve mat nhung lai o trong trung tam chat hep, tot nhat la nen chuyen ra vung ngoai o",0,0,3.0
"Khám chán không chịu được. Lần đầu tiên đi khám mà thấy bác sĩ nói 1,2 câu rồi bảo ra mua thuốc về uống. Chẳng hỏi đau tai thế nào? Kê thuốc cũng chẳng nói nên uống thuốc thế nào? (vì mình có 1 loại thuốc bột rắc vào tai mà chẳng thấy nói gì luôn). Thật sự rất không ưng thái độ làm việc này..Khám xong về uống thuốc 2,3 ngày sau còn đau nặng gấp 2 gấp 3 lần lúc đi khám. Thật sự rất thất vọng. Vươn cao kiểu gì chẳng biết nữa.",2,0,2.0
Nếu có 0 sao không bao giờ đánh giá 1 sao..Xếp hàng chờ mốc ... vẫn để bệnh nhân chen ngang 🙂🙂🙂 …,0,0,0.0
"Bệnh viện tuyến trung ương khá đông đúc. Lượng bệnh nhân ra vào liên tục. Bệnh viện được biết đến chuyên điều trị xương khớp, ngoài ra bệnh viện còn có Trung tâm nam học đầu tiên của Việt nam, điều trị nam học, vô sinh hiếm muộn , đội ngũ bác sĩ chu đáo tận tình ..Bạn muốn đến khám nên gọi điện trước 1 hôm để đặt lịch khám, tránh tình trạng đến viện xếp hàng lâu .Số đt tư vấn đặt lịch 19001902",3,3,3.0
"Ông bà tôi đều đã điều trị khỏi bệnh ở bệnh viện này. Bệnh viện có nhiều bác sĩ tốt, có kinh nghiệm.",4,2,3.0
Chau minh duoc 4thang tuoi .bi viem da cơ dia lơ let khap nguoi m da dua di kham nhiu cho ma ko thay dơ .vi ơ kha xa ha nôi nen muon dua chau di la 1dieu zat kho .nhung benh tinh chau cu gia tang chu ko giam bot me chau xot xa ko an ko ngu gi vi thuog con .hoan canh kho khan con lai con nho ....den hum nay gd quyet dinh dua chau ra hn de kham .nhung vi ơ xa chau lai con nho nen gd m di thang za bvien nhj chu ko qua benh vien tinh  xin giay chuyen tuyen nua .vi cư nghĩ trẻ con duoi 6t toi dau cung duoc uu tien .nhung za toi noi ko co giay chuyen tuyen lai ko duoc huong bao hiem ôi xot xa .chan nan .thuong con qua,0,0,0.0
"Cơ sở vật chất chưa được đồng bộ và hiện đại, thủ tục còn rườm rà...",0,0,2.0
"Gửi xe hai bánh ở bên trái bệnh viện, lối vào trông có vẻ cũ kỹ. Người đến bệnh viện khám răng tại đây không đông lắm so với các bệnh viện chuyên khoa khác. Thường thì để khám nhanh, bệnh nhân thường chọn điều trị tại Phòng nha khoa Kỹ Thuật Cao, có ghế salon ngồi chờ, mỗi bàn đều để vài chai nước suối miễn phí",0,0,3.0
Dịch vụ tốt. Tôi yêu bệnh viện này <3,3,3,3.0
"đang định đi khám họng ơ bệnh viện này, ai có thông tin cho  biết thêm nhé",0,0,0.0
"Bệnh viện dịch vụ tốt, sạch sẽ, an toàn, làm việc nhanh gọn. Nhân viên, bác sĩ làm việc chuyên nghiệp.",5,0,5.0
"Bệnh viện rộng, về cơ bản là sạch sẽ. Tuy nhiên vẫn chỉ đáp ứng được các nhu cầu tối thiểu.",0,0,3.0
Khu khám DỊCH VỤ mà còn không bằng khu khám bệnh bình thường ở các bệnh viện khác. K có nhân viên điều phối và hướng dẫn bệnh nhân để giúp tăng hiểu quả về thời gian khám.,0,2,0.0
Bệnh viện TW Cần Thơ là Bệnh viện tuyến cuối của Đồng Bằng sông Cửu Long có nhiều bác sĩ giỏi,2,1,1.0
"Cảm ơn Bệnh viện Chợ Rẫy đã sử dụng món quà sức khỏe ý nghĩa từ YẾN SÀO HÀO GIA để làm quà tặng cho đồng nghiệp, lãnh đạo và phụ huynh",0,0,0.0
Quá tồi tệ.Đặc biệt gặp phải bsi phòg số 6 NLP tại nơi khám them yêu cầu của bệnh viện,1,0,0.0
Tệ để người nhà bênh nhân ngồi chờ ngoài sảnh nóng nôi. Còn bệnh nhân khám bác sĩ ngồi chơi nghịch điện thoại xong mới khám.,2,0,0.0
"Bệnh viện lớn nằm trung tâm thủ đô, kiến trúc đẹp khám chữa bệnh chủ yếu về xương khớp, ngoại khoa.",4,2,3.0
"Mẹ mình khám mắt, có bác sĩ Khánh Vân rất nhiệt tình và tốt bụng",5,0,0.0
"Ở đâu củng đổ về bệnh viện khiến bệnh viện  quá tải, phải chờ đợi rất mới được khám và điều trị.",0,0,3.0
"Khu phát thuốc lâu. Chỉ có vài người, làm cho người bệnh đợi lâu. Yêu cầu nhanh tay và bố trí thêm người",1,1,1.0
BV Đầu ngành nhưng BS chưa thật sự nhiệt tình.,3,0,0.0
"Thái độ cực kì tệ , chỉ có chị y tá và bác sĩ ở phòng nội soi mình thấy thái độ hoà nhã với bệnh nhân , còn đa số các phòng khác đều khó chịu cọc cằn còn muốn chửi bệnh nhân , bệnh nhân đến khám dịch vụ trả tiền khám BHYT cũng là trả tiền chứ có phải xin đâu mà thái độ rất tệ",2,0,0.0
Có cái số điện thoại để trên web mà gọi k bao giờ có ng nghe máy. ĐỂ sdt lên đây làm gì v. Gỡ xuống đi,0,0,2.0
"Thái độ phục vụ của bảo vệ, điều dưởng bị bệnh nhân, người nuôi bệnh chê quá nhiều trong các ý kiến .",0,0,0.0
Tai day dag co nguoi tuong tu nua che nua song nua khung nua mat nua chap. Nua nguc nua thien,0,0,0.0
"Cả nhà bị vấn đề về mũi họng, nên seach gg tìm đường đi với tâm thế bv trung ương thì phải tốt lắm. Ai dè đọc bình luận toàn thấy 1*, thái độ nv lếu láo, thuốc thì đắt, bác sĩ lại k có tâm, từ bảo vệ cũng như thế. Đọc không sót bình luận nào toàn thấy phản ánh như vậy, có vài cái 5* chắc toàn người nhà hoặc nv vào đánh giá. Không nghĩ thời này mà còn có bv với nhiều chê trách đến vậy. Thôi quay xe đến bv khác.",2,1,0.0
"Tôi xin nghỉ làm để đến bv trung ương khám bệnh, vì đi tiểu ra máu, bác sĩ nội soi và nuôi cấy nước tiểu hẹn tuần sau lấy kết quả, đưa thuốc uống, tuần sau qua thì bác sĩ nói mẫu nước tiểu bị lạc mất rồi, mình yêu cầu gặp người nhận mẫu nước  tiểu và kí giấy hẹn trả kết quả cho mình thì bệnh viện trả lời không biết người đó là ai. Không ngờ 1 bv lớn như vậy mà vô trách nhiệm, mình chỉ biết đòi tiền lại đẻ qua bv khác khám chứ k biết phải làm sao vì quá mất lòng tin.",1,1,1.0
Khám chữa mắt. Bác sỹ đầu ngành,0,0,0.0
Bố tôi bị gãy xương gò má và xương quai hàm cấp cứu 2 hôm rồi mà k có lịch mổ. Y tá n bố tôi đường huyết 9.6 là cao k mổ DC. Biết là cao mà k xử lí xuống thấp. T hỏi bác Sỹ bố tôi như vậy có ăn kiêng j k. Thì k tư vấn. Vậy cứ để bố tôi đau cho cứng hàm à. Lúc vào nhập viện thì bảo bố tôi phải ở đây cứ nộp tiền vào mới có lịch mổ. Mà nộp 2 lần rồi vẫn k giải quyết j cả. Bố tôi phải chịu đau đến bao giờ đây. quá  chán bk còn lần nào quay lại,1,0,1.0
Viện K cơ sở Tân Triều trong những ngày bị cách ly y tế vì có ca dương tính với Covid-19.,0,0,0.0
"Trải nghiệm rất không hài lòng, các thủ tục đăng ký khám và đóng phí rất lằng nhằng khiến cho người khám phải đi đi lại lại đóng tiền nhiều lần, hướng dẫn vị trí phòng khám không rõ ràng, khó tìm...Đặc biệt không hài lòng với khoa Nha Chu, các nha sĩ và nhân viên tập trong ở phòng trong nói chuyện cười đùa ăn uống rất ồn ào, không ngồi ở bàn tiếp đón bệnh nhân. Trong thời kỳ bệnh dịch lại không đeo khẩu trang mà tiếp xúc gần với bệnh nhân. Nha sĩ thiếu chuyên nghiệp, thiếu tôn trọng bệnh nhân, tỏ thái độ chê bai cấu tạo răng miệng của bệnh nhân. Thậm chí vừa thực hiện hàn răng vừa để điện thoại lên người bệnh nhân để gọi điện thoại nói chuyện riêng và nói rằng không ảnh hưởng đến chuyên môn. Khám cho bệnh nhân xong thì mặc kệ, không nâng ghế hay đẩy bàn dụng cụ ra để giúp bệnh nhân ngồi dậy ra khỏi ghế...Tổng thời gian bao gồm test nhanh covid, khám, nghe tư vấn, đóng phí, hàn 1 răng và lấy cao răng là 2 tiếng...Chi phí không rẻ, thủ tục rườm rà, nha sĩ thiếu chuyên nghiệp, không có tinh thần dịch vụ, nếu có lựa chọn xin đừng tới đây.",0,0,0.0
BV có máy lạnh và nước uống miễn phí. BS nhiệt tình.,4,0,4.0
Khám và giải đáp sơ sài.Mang tiếng BV tuyến đầu . Quá tệ,2,0,0.0
"Bệnh viện sạch, bác sĩ tận tâm",5,0,3.0
"Bệnh viện Việt Đức là bệnh viện cao cấp hàng đầu Việt Nam,cơ sở vật chất tiện nghi,hiệnđại,sạch sẽ, đội ngũ y bác sĩ giỏi,tư vấn ân cần,nhẹ nhàng,nhiệt tình,an ninh trong viện tốt,cứu chữa được nhiều bệnh,tai nạn hiểm nghèo ,xin khuyên ai bị bệnh về xương khớp,tai nạn,gan,mật,hiếm muộn nên đến Bệnh Viện Việt Đức khám chữa bệnh!",4,4,4.0
Đây là nơi mình gắng bó nửa thời gian cuộc sống,0,0,0.0
Bệnh viện không có bãi đỗ xe phải gửi dịch vụ đắt,0,0,0.0
"Y bác sỹ hách dịch, khó chịu... Và muốn được việc phải chi tiền !",1,0,0.0
"Nhân viên rất hữu ích, với một liên lạc nhẹ nhàng. Đánh bại kỳ vọng! Thêm một việc làm tốt cho Bình Định.",0,4,0.0
Bv Tuy đông nhưng phục vụ rất nhiệt tình,4,4,0.0
"Lượng người đến khám khá là đông do bv chuyên về răng hàm mặt. Rất là sạch sẽ từ hành lang đến toilet. mình nhổ răng khôn giá hơi cao 2 triệu / cái do ko có bảo hiểm y tế, nhưng rất yên tâm vì dịch vụ rất đáng. Thủ tục nhổ răng khá là lòng vòng vì rất kĩ lưỡng. Thường là nhổ răng vào đầu giờ chiều vì bạn mất cả buổi sáng để khám lâm  sàng trước. Nên bạn nào muốn nhổ thì phải thu xếp 1 ngày nghỉ nhé. Có thu viện phí bằng thẻ.",4,0,4.0
bác sĩ ok.Người nhà chăm sóc bệnh nhân ra đi mua đồ ăn sáng.Xong không cho vào..Không hợp lý một chút nào,4,3,0.0
"Bác sĩ khám như cc, thủ tục lằng nhằng đợi lâu, khi khám hỏi triệu chứng thì qua loa cho xong trong khi bệnh nhân vẫn kêu đau ma bsi lại kêu khỏi bệnh rồi",1,1,1.0
"Chất lượng khám chữa bệnh chất lượng cao, máy móc hiện đại. Là một trong 3 bệnh viện lớn của cả nước.",0,0,5.0
Xác đinh luôn.... tiền và tiền ... y đức á ... xưa rồi ... giờ thì tiền,2,2,2.0
"Rất yên tâm cho con phẫu thuật ở đây bác sỹ làm việc tận tâm ,",5,0,0.0
"Nhân viên lấy máu kém! Hầu như lần nào cũng chọc vỡ ven của bệnh nhân, duy nhất  cứ lấy máu ở Viện Phổi là vỡ ven",0,0,0.0
"Tôi 27 tuổi, đã đến khám và nhổ răng số 7 bị viêm ở đây, được điều trị bởi bác sĩ Thắng. Tôi cảm thấy môi trường ở đây sạch sẽ, không phải chờ đợi quá lâu, nhân viên y tế chăm sóc tận tình. Bác sĩ Thắng nhổ răng nhẹ nhàng, nhanh gọn, giải đáp kĩ càng những băn khoăn của tôi. Đây là một trong những bệnh viện công mà tôi có thiện cảm. Cảm ơn các y bác sĩ, sắp tới nếu cấy ghép implant tôi sẽ chọn nơi đây..Last week I came to this hospital to heal my tooth. I feel the environment very clean, waiting time is'nt too long, medical staff take care of me so good. Thank you, thank Dr. Thang ! In the next time, I will choose this hospital to do implant.  (Sorry if my English is not well ^^)",5,0,3.0
"Đi khám bắt chờ cho đã, mua sổ đóng tiền cho đã ở dưới lầu, đi lên lầu thì nói ko nhận khách nữa chiều quay lại, tiền khám cũng ko trả lại, trong khi mới 10h45', bệnh nhân còn mỗi 1 người mà nhân viên lười ko thèm nhận thêm làm người dân phải chờ đợi vô lý, bệnh viện tệ hại",0,0,1.0
Bệnh viện mới xây nên khá sạch,0,0,4.0
"Bác sĩ vừa tiêm sẹo cho tôi vừa nói chuyện điện thoại, tôi vừa đau vừa sợ. Đúng là cái loại lương tâm không bằng lương tháng",1,0,0.0
"Nhìn chung rất hài lòng với 2 BS khám trực tiếp về chi trên và cột sống, nhưng không hài lòng với cách hội chuẩn của các BS phụ trách hội chuẩn tại phòng 133( ngày 20/6/2019) nhà C2 khu khám bệnh tự nguyện: con tôi sinh ra tay bình thường năm 7 tuổi ngã 2 lần đều chống khuỷu tay nên bị trệch khớp khuỷu tay phải giờ khám lại các BS tại phòng hội chuẩn ko thèm phân tích phim kết luận 1 câu con tôi bị bẩm sinh.?",2,2,2.0
"Bv rộng, từ trên nhìn xuống , giờ mở thêm thang máy rất tiện  , thang máy mới đi rộng và có trang bị tiếng nhạc trong thang máy là cảm giác chờ đợi k còn lâu nữa",1,1,4.0
Khám cả cuối tuần rất tốt và tiện lợi,0,0,5.0
"Bệnh viện lớn nhất tại huế. Có đầy đủ chuyên khoa. Xây khá rộng và hiện đại, ấn tượng ở đây là bệnh viện rất sạch. Điều dưỡng bác sĩ ở đây rất thân thiện và kiên nhẫn với bệnh nhân. Bệnh viện không quá đông nên khám bệnh khá thoải mái. Tuy vậy phòng bệnh nhân khá nhỏ và 1 phòng có 4 giường",4,3,3.0
Bệnh viện hàng đầu về nhi ở Việt Nam. Cho con khám ở đây rất yên tâm.,0,0,0.0
Bị gãy chân thứ 6 vào viện nằm mà bác sĩ viện bảo cuối tuần k làm việc đợi thứ 2 mới chẩn đoán,1,1,1.0
"Quá tệ. Khu khám dịch vụ theo yêu cầu thì tốt nhanh, khu (không có sử dụng bảo hiểm) còn lại nhân viên làm việc chậm chạp phải nói cực kỳ lâu, 2 giờ đồng hồ mà chỉ hơn 200 số, cơ sở vật chất cũ kỹ. Mấy bài đánh giá tốt, có hình ảnh toàn nhân viên của bệnh viện đánh giá thôi. Tóm lại quá tệ cho 2 chữ trung ương",1,1,3.0
"Tôi đã từng chữa bệnh viêm họng mãn tính ở Bệnh viện này. Thái độ phục vụ chăm sóc của các bác sĩ rất tận tình, chu đáo",5,0,4.0
Đây là bvdktwcantho trực thuộc bộ y tế nên tập trung rất nhiều BS có chuyên môn cao để phục vụ nhu cầu của nhân dân các tỉnh đồng bằng sông Cửu Long,4,2,4.0
Bé bị đau tai và ra mủ. Đến khám phòng D102 nhà 15 tầng thì ko thấy có nội soi bên trong để ktra.ko hiểu khám bệnh kiểu j. Có máy tính hiển thị thứ tự bệnh nhân mà ko hiển thi . Bó tay,0,0,2.0
Quá tệ đề nghị bộ y tế vào cuộc kiểm tra cơ sở vật chất và chất lượng khám chữa bệnh,2,2,1.0
Toi nhan thay .tan tinh chu dao .tuyet voi,4,4,4.0
Một nơi của hy vọng và đợi chờ. Đã nhiều lần vào đây và thấy ngày một khang trang và thay đổi tích cực. Rất mừng và hy vọng điều mình nghĩ là đúng!,0,0,4.0
"Bệnh viện cho 1 nhóm thực tập nội soi bệnh nhân, quên gắn ống thở oxi cho bệnh nhân mà vẫn thực hiện nội soi, bệnh nhân khó thở mà tụi nó vẫn không hay biết",2,0,0.0
"20/12/2022:.Dịch vụ thăm khám tệ trên mức tưởng tượng.- chưa chuyển đổi số, bộ máy vẫn chạy bằng “cơm”, bệnh nhân ngồi chờ khám nghe gọi tên chứ không có số trên màn hình như đa số bệnh viện khác. Cái này cũng chấp nhận được không sao.- Nhưng tệ nhất và đáng lên án là nhân viên quầy thuốc.+ Ở quầy số 1, trên kệ có cái biển QR code để thanh toán online, nhưng lúc bảo thanh toán thì đòi tiền mặt và cất biển QR code xuống gầm bàn, nói đi ra quầy 02 thanh toán chuyển khoản (miệng thì vẫn tán chuyện với nhau nhau em khó chịu, nay em khó ở,…).+ Sang đến quầy 02 thì còn sốc hơn khi nhân viên nói thẳng vào mặt bệnh nhân là không chuyển khoản không mua thì thôi. Từ thu ngân đến cấp phát thuốc (trong ảnh)… nghe mấy thím phát ngôn mà tôi tưởng đang đi lộn vào cái xó xỉnh nào ở cái năm nào đó chứ không phải 20/12/2022",0,1,3.0
"làm ăn cc, chăn thu rồi nói chua thu",0,1,0.0
Cơ sở Bệnh viện tốt. Các Bác sĩ. Và các nhân viên các phòng khoa đều nhiệt tình. Vui vẻ. Lịch sư. Chu đáo. Cảm ơn bệnh viện và các Bác sĩ cùng nhân viên Y tế.,4,4,4.0
"bv làm ăn chán, muốn yêu cầu chụp cộng hưởng từ cho yên tâm thì lại bảo ko tin tưởng bs rồi nói giọng khó nghe , chờ làm thủ tục thanh toán lâu",1,1,1.0
"Cũng cách phục vụ còn kém chưa niềm nở với bệnh nhân và người nuôi bệnh, nhà vệ sinh chưa sạch sẽ",0,0,0.0
Bệnh viện trung ương về phổi,0,0,0.0
"Viện đông, phục vụ tốt, sinh ở đây là yên tâm nhất, y bác sĩ nhiệt tình, nếu sinh lần 2 chắc chắn vẫn lựa chọn BVPSTW",4,0,0.0
Bệnh viện tuyến cuối của Việt nam điều trị bệnh về mắt,0,0,0.0
Hiện đại. Cơ sở y tế chất lượng cao. Bác sĩ có trình độ cao và trợ lý tốt bụng. Dịch vụ nhanh chóng. Không gian rộng rãi để đậu xe.,5,0,5.0
Tôi không chấp nhận thái độ của nhân viên bảo vệ bệnh viện long hưng bảo có thái độ không chuẩn mực đối với người nhà bệnh nhân nếu tình trạng này tiếp tục diễn ra tôi sẽ nhờ pháp luật cang thiệp giải quyết.,1,0,0.0
"Dịch vụ quá kém, không hướng dẫn cụ thể cho bệnh nhân",0,2,2.0
"Mang tiếng là bv tuyến TW nhưng chỉ tìm đủ mọi cách để moi tiền bệnh nhân, vợ mình đi tiêm 2 mũi pfizer ở đây mà mất tận 3triệu tiền khám và xn, mất 5 buổi đi lại mới tiêm xong, trải nghiệm quá tồi tệ",0,0,2.0
Điểm dừng chân rất đẹp luôn,0,0,0.0
"Đội ngũ bs khám bệnh tư vấn ko nhiệt tình, tư vấn ko chi tiết. Con mình khám xong chỉ nói là bị Viễn thị, ko tư vấn j thêm... rất thái độ",3,0,0.0
Bác sĩ tốt không gian phù hợp với người bệnh,4,0,4.0
"Bác sĩ chuyên môn tốt, tận tình nhưng vì là bệnh viện trung ương nên bệnh nhân rất đông, cơ sở vật chất so với mặt bằng chung các bệnh viện khác là rất cũ rồi.",3,1,1.0
đây là BV Việt Đức! ko phải bv K. OK... mong các bạn up thêm ảnh.,3,3,3.0
"Khuyên cho những người định ra đây khám, là không cần ra đây khám làm gì cả, chất lượng thua cả 1 phòng khám bé tẻo teo.!",1,0,0.0
